from_to,score,straight_line_mi,travel_time_hr,network_dist_mi,avg_speed_mph
0::Los Angeles-Long Beach-Anaheim--San Diego-Chula Vista-Carlsbad,3381502939.86,111.40461042803358,1.4904111743588264,117.74248277434724,78.99999999999997
1::New York-Newark-Jersey City--Washington-Arlington-Alexandria,2903421699.87,205.23690211652882,2.840873872516801,224.42903592882712,78.99999999999994
2::New York-Newark-Jersey City--Boston-Cambridge-Newton,2676002861.54,188.963987211469,2.8547082096538055,225.52194856265032,78.99999999999989
3::Philadelphia-Camden-Wilmington--Washington-Arlington-Alexandria,2442791268.88,126.64856943495407,1.7450221911974277,137.85675310459683,79.00000000000003
4::New York-Newark-Jersey City--Hartford-West Hartford-East Hartford,2235760017.65,100.33980641677724,1.399109038537319,110.52961404444811,78.99999999999993
5::New York-Newark-Jersey City--Baltimore-Columbia-Towson,1870145000.26,171.30376159603634,2.367152147346454,187.0050196403699,79.00000000000001
6::Providence-Warwick--New York-Newark-Jersey City,1406186503.8,151.9453240225193,2.267161798981833,179.1057821195649,79.00000000000004
7::Dallas-Fort Worth-Arlington--Houston-Pasadena-The Woodlands,1178371557.26,227.7119148653292,3.235611345676651,255.61329630845566,79.00000000000007
8::Los Angeles-Long Beach-Anaheim--Bakersfield-Delano,1143037152.95,101.7237496160521,9.552639299769288,754.6585046817733,78.99999999999994
9::New York-Newark-Jersey City--Scranton--Wilkes-Barre,1037176749.57,103.03353245677837,2.1624017243250275,170.8297362216773,79.00000000000006
10::New York-Newark-Jersey City--Albany-Schenectady-Troy,870805582.78,143.38060417852057,1.945492051089256,153.69387203605123,79.0
11::Austin-Round Rock-San Marcos--Houston-Pasadena-The Woodlands,866174580.65,146.2875182577542,2.3887326743564268,188.70988127415774,79.00000000000001
12::Chicago-Naperville-Elgin--Indianapolis-Carmel-Greenwood,750119776.75,163.18961598639748,2.4726384483594086,195.3384374203934,79.00000000000006
13::Reading--New York-Newark-Jersey City,738555827.56,106.05294013433992,1.6224568167310984,128.17408852175677,79.0
14::Detroit-Warren-Dearborn--Chicago-Naperville-Elgin,693087439.34,239.32741368176247,3.5712854668242833,282.1315518791185,79.00000000000003
15::New York-Newark-Jersey City--Worcester,688570814.57,156.68621618208996,2.370703317180663,187.2855620572723,78.99999999999997
16::Dallas-Fort Worth-Arlington--Austin-Round Rock-San Marcos,646692881.44,176.62116828842687,2.6168383236569426,206.73022756889864,79.00000000000007
17::Chicago-Naperville-Elgin--Grand Rapids-Wyoming-Kentwood,634780751.65,129.993653420749,2.246767648919277,177.49464426462288,78.99999999999999
18::New York-Newark-Jersey City--Lancaster,627695491.87,130.81953891448836,1.8703104495410618,147.75452551374397,79.00000000000004
19::New York-Newark-Jersey City--Springfield,585329348.69,124.131218980424,1.740104973829646,137.4682929325419,78.99999999999993
20::San Antonio-New Braunfels--Houston-Pasadena-The Woodlands,569237254.69,188.82210138863326,2.69641433422282,213.01673240360265,78.99999999999996
21::Las Vegas-Henderson-North Las Vegas--Los Angeles-Long Beach-Anaheim,553165156.92,232.131512263835,4.044188131073024,319.4908623547687,78.99999999999996
22::Tampa-St. Petersburg-Clearwater--Miami-Fort Lauderdale-West Palm Beach,535344217.03,196.6672746806723,3.0884007200844947,243.98365688667496,78.99999999999996
23::Seattle-Tacoma-Bellevue--Portland-Vancouver-Hillsboro,532012507.12,137.71126974248824,2.229458451942931,176.12721770349157,79.00000000000001
24::Orlando-Kissimmee-Sanford--Miami-Fort Lauderdale-West Palm Beach,512102563.91,183.74149456816957,3.0402973405051594,240.18348989990744,78.99999999999994
25::San Francisco-Oakland-Fremont--Los Angeles-Long Beach-Anaheim,499310224.9,342.46654703561046,5.825750712615577,460.23430629663045,78.99999999999997
26::Virginia Beach-Chesapeake-Norfolk--Washington-Arlington-Alexandria,480936438.7,154.01040054026706,2.769980165005377,218.82843303542492,79.00000000000006
27::Phoenix-Mesa-Chandler--Los Angeles-Long Beach-Anaheim,478837140.99,365.5209976896529,5.414377753454316,427.735842522891,79.00000000000001
28::Harrisburg-Carlisle--New York-Newark-Jersey City,477350066.6,156.05410241256436,2.287483591803778,180.71120375249845,79.0
29::Pittsburgh--New York-Newark-Jersey City,467444033.38,315.17842314692416,5.27771820835197,416.93973845980463,78.99999999999982
30::Los Angeles-Long Beach-Anaheim--Santa Maria-Santa Barbara,461879555.56,109.99155515607899,1.4792041744237168,116.85712977947367,79.00000000000003
31::Madison--Chicago-Naperville-Elgin,443264155.12,120.469310855006,1.7068637896413166,134.84223938166397,78.99999999999997
32::New York-Newark-Jersey City--Norwich-New London-Willimantic,435298337.52,111.51449619390941,1.6989696875382798,134.2186053155241,78.99999999999999
33::Philadelphia-Camden-Wilmington--Boston-Cambridge-Newton,427644254.63,267.48942779073127,3.87304977374222,305.9709321256355,79.00000000000003
34::Pittsburgh--Washington-Arlington-Alexandria,425438833.84,188.8633549926715,3.4928597039756553,275.9359166140769,79.00000000000004
35::Phoenix-Mesa-Chandler--Tucson,422319270.47,113.22011521154943,1.504173465341829,118.82970376200447,78.99999999999999
36::New York-Newark-Jersey City--Virginia Beach-Chesapeake-Norfolk,405106252.05,294.7089526163082,4.378588944324552,345.9085266016391,78.99999999999989
37::Pittsburgh--Cleveland,399526138.06,114.22529275683613,1.6396481981944035,129.53220765735776,78.99999999999993
38::Chicago-Naperville-Elgin--St. Louis,389363013.35,258.9633241856214,3.445111050647338,272.16377300113936,78.9999999999999
39::Birmingham--Atlanta-Sandy Springs-Roswell,384462221.25,138.42389202025282,1.9143343710550256,151.23241531334713,79.00000000000006
40::Philadelphia-Camden-Wilmington--Bridgeport-Stamford-Danbury,384427236.31,124.23648541532555,1.689002091005603,133.43116518944265,79.00000000000001
41::Atlanta-Sandy Springs-Roswell--Nashville-Davidson--Murfreesboro--Franklin,379295831.55,187.26423629578125,3.0858030074182485,243.77843758604166,79.00000000000001
42::New York-Newark-Jersey City--York-Hanover,376967685.72,153.93057187034415,2.2967281331077194,181.44152251551,79.00000000000007
43::Cape Coral-Fort Myers--Miami-Fort Lauderdale-West Palm Beach,374669736.69,118.06594948291205,4.0216679091294045,317.71176482122314,79.00000000000004
44::San Antonio-New Braunfels--Dallas-Fort Worth-Arlington,369964322.35,243.88883743611174,3.5822518030138637,282.997892438095,78.99999999999993
45::Los Angeles-Long Beach-Anaheim--Fresno,359267380.66,206.26701371499314,8.167716849908512,645.2496311427722,78.99999999999997
46::Detroit-Warren-Dearborn--New York-Newark-Jersey City,353247136.66,486.3457958564692,8.237023310914314,650.724841562231,79.00000000000001
47::Atlanta-Sandy Springs-Roswell--Charlotte-Concord-Gastonia,348543931.53,224.14563359615798,3.0737264297059967,242.82438794677367,78.99999999999997
48::Philadelphia-Camden-Wilmington--Scranton--Wilkes-Barre,348273379.69,101.79647396313189,2.0629958508579507,162.97667221777812,79.0
49::Atlanta-Sandy Springs-Roswell--Greenville-Anderson-Greer,345585011.41,132.90207050284803,1.8624651655566402,147.13474807897435,78.99999999999989
50::Detroit-Warren-Dearborn--Columbus,342953868.25,167.4754307886556,2.2955633222644476,181.3495024588913,78.99999999999997
51::Oklahoma City--Dallas-Fort Worth-Arlington,339997102.16,189.00546102547918,2.786373779258531,220.12352856142417,79.00000000000009
52::Chicago-Naperville-Elgin--Cincinnati,331172838.57,252.35323162517545,3.765075917406178,297.44099747508835,79.00000000000007
53::New York-Newark-Jersey City--Syracuse,320050821.85,199.96490764803076,3.6330812871170064,287.0134216822436,79.00000000000001
54::Richmond--New York-Newark-Jersey City,317828469.47,288.177360964441,4.249586419306792,335.71732712523635,78.99999999999996
55::Rochester--New York-Newark-Jersey City,312240100.53,256.1730608535077,4.741414986841506,374.5717839604786,78.99999999999993
56::Philadelphia-Camden-Wilmington--Kiryas Joel-Poughkeepsie-Newburgh,308891197.04,119.90610724228058,1.746474094953724,137.9714535013442,79.0
57::Columbus--Cleveland,307464633.63,124.1452009761773,1.7362284564910409,137.16204806279217,78.99999999999997
58::Orlando-Kissimmee-Sanford--Jacksonville,291573819.29,128.6495718484677,1.8126499622193142,143.19934701532574,78.99999999999996
59::Las Vegas-Henderson-North Las Vegas--Riverside-San Bernardino-Ontario,284890313.63,196.3561605206357,3.5599802289924387,281.23843809040227,78.99999999999989
60::Chicago-Naperville-Elgin--Minneapolis-St. Paul-Bloomington,282173419.12,348.701412727648,5.0930071168168105,402.34756222852815,79.00000000000003
61::Los Angeles-Long Beach-Anaheim--San Jose-Sunnyvale-Santa Clara,276329884.7,300.55599357117256,5.062030405790926,399.90040205748295,78.99999999999996
62::Dallas-Fort Worth-Arlington--Killeen-Temple,276141887.48,121.74207126872356,1.9876565069094352,157.0248640458455,79.00000000000006
63::Detroit-Warren-Dearborn--Grand Rapids-Wyoming-Kentwood,275773381.96,134.62554235249956,1.9068167409901393,150.6385225382211,79.00000000000006
64::Knoxville--Atlanta-Sandy Springs-Roswell,265458845.77,151.16942101996338,2.396721143936709,189.34097037100005,79.00000000000001
65::Charlotte-Concord-Gastonia--Raleigh-Cary,259727791.97,126.77381923831751,1.8026615088139628,142.41025919630314,79.00000000000004
66::Chicago-Naperville-Elgin--Columbus,258497931.63,278.1853666384889,4.000645530117202,316.05099687925906,79.00000000000003
67::New York-Newark-Jersey City--Buffalo-Cheektowaga,257346978.59,294.9347724196499,5.364564563959849,423.8006005528278,78.99999999999994
68::New York-Newark-Jersey City--Cleveland,253076019.02,404.6759205176277,6.912465982564044,546.0848126225602,79.0000000000001
69::Allentown-Bethlehem-Easton--Washington-Arlington-Alexandria,251825547.09,148.30967161973822,2.644428249619255,208.90983171992104,78.99999999999996
70::Sacramento-Roseville-Folsom--Los Angeles-Long Beach-Anaheim,241910827.35,359.67508001483446,6.795783834966675,536.8669229623679,79.00000000000009
71::Riverside-San Bernardino-Ontario--Bakersfield-Delano,241884171.57,133.10341327207178,2.436117335817157,192.45326952955548,79.00000000000003
72::Phoenix-Mesa-Chandler--Riverside-San Bernardino-Ontario,239863464.72,312.5766403942726,4.889622389658748,386.28016878304066,78.99999999999991
73::Pittsburgh--Detroit-Warren-Dearborn,236171491.8,210.77019665147395,3.694307154700136,291.8502652213105,78.99999999999993
74::New York-Newark-Jersey City--Binghamton,234443894.16,142.3685570750513,2.827019326365493,223.33452678287412,79.00000000000007
75::Philadelphia-Camden-Wilmington--Pittsburgh,228869610.89,254.92480777319528,4.199482078220585,331.7590841794263,79.00000000000001
76::Philadelphia-Camden-Wilmington--Hartford-West Hartford-East Hartford,227827591.83,177.61870384044562,2.4084977676979618,190.27132364813903,79.00000000000003
77::Richmond--Baltimore-Columbia-Towson,227318080.52,130.70743756377553,1.869178395993078,147.6650932834532,79.00000000000001
78::Orlando-Kissimmee-Sanford--North Port-Bradenton-Sarasota,225676357.71,106.50059699710684,1.7292332405880877,136.609426006459,79.00000000000003
79::Boston-Cambridge-Newton--Bridgeport-Stamford-Danbury,224880746.15,143.85336564081103,2.4082946072772438,190.25527397490234,79.00000000000003
80::Visalia--Los Angeles-Long Beach-Anaheim,222171162.65,167.3147951503988,3.0023468397458983,237.18540033992608,79.00000000000004
81::Chicago-Naperville-Elgin--Peoria,220183825.69,123.15648598815139,1.8260404996061652,144.25719946888702,78.99999999999999
82::Albany-Schenectady-Troy--Boston-Cambridge-Newton,216363042.26,142.58061588832382,2.4698351933179508,195.1169802721181,79.0
83::Philadelphia-Camden-Wilmington--Virginia Beach-Chesapeake-Norfolk,214631018.95,229.6514105612045,3.252255852175933,256.9282123218985,78.99999999999994
84::Miami-Fort Lauderdale-West Palm Beach--North Port-Bradenton-Sarasota,213569144.98,162.84800709820775,3.6852552794656597,291.13516707778695,78.99999999999996
85::Indianapolis-Carmel-Greenwood--Louisville/Jefferson County,210107386.28,118.92042303196563,1.56607337700404,123.71979678331915,79.0
86::San Francisco-Oakland-Fremont--Fresno,209788285.06,159.2505071535905,2.4878153975091792,196.53741640322505,78.99999999999996
87::Manchester-Nashua--New York-Newark-Jersey City,209595155.03,199.65949271599325,3.0792630336425826,243.26177965776407,79.00000000000001
88::New York-Newark-Jersey City--Dover,207977110.84,133.65693963479484,2.0665407686127377,163.25672072040615,78.99999999999994
89::Fort Wayne--Chicago-Naperville-Elgin,204238129.79,143.27815889050143,1.914348002212505,151.233492174788,79.00000000000006
90::Detroit-Warren-Dearborn--Akron,203689139.13,122.11831369422144,2.290975989356436,180.98710315915844,79.0
91::Chicago-Naperville-Elgin--Cleveland,202545197.14,311.90308843649757,4.3093491883749815,340.4385858816238,79.00000000000006
92::Atlanta-Sandy Springs-Roswell--Augusta-Richmond County,200816120.26,139.5506847795739,2.14063321971937,169.11002435783033,79.00000000000004
93::Pittsburgh--Columbus,200757803.63,160.87686564198535,2.304438249820364,182.05062173580887,79.00000000000004
94::Reading--Washington-Arlington-Alexandria,200333982.1,117.23335170311866,2.173852356892456,171.73433619450415,79.00000000000006
95::Boston-Cambridge-Newton--Washington-Arlington-Alexandria,198811587.94,394.09281549793025,5.649378280535164,446.30088416227795,79.0
96::New York-Newark-Jersey City--Pottsville,197642614.72,118.08730594403107,1.9331048109466527,152.71528006478576,79.0000000000001
97::Philadelphia-Camden-Wilmington--Providence-Warwick,196095707.5,230.3744610221445,3.290852678906704,259.9773616336295,78.99999999999997
98::Baltimore-Columbia-Towson--Allentown-Bethlehem-Easton,195456682.36,112.88250839904771,2.343673492158043,185.1502058804855,79.00000000000003
99::New Haven--Boston-Cambridge-Newton,194190476.76,119.71212953491757,1.8408902227853892,145.4303276000458,79.00000000000004
